Individual	Technique	Scenario	Metric	Value
6	Cave com oculos	Dist Maior Tam Menor	Tempo	58
6	Cave com oculos	Dist Menor Tam Maior	Tempo	45
6	Cave com oculos	Dist Menor Tam Menor	Tempo	50
7	Cave com oculos	Dist Maior Tam Maior	Tempo	12
7	Cave com oculos	Dist Maior Tam Menor	Tempo	15
7	Cave com oculos	Dist Menor Tam Maior	Tempo	17
7	Cave com oculos	Dist Menor Tam Menor	Tempo	20
8	Cave com oculos	Dist Maior Tam Maior	Tempo	35
8	Cave com oculos	Dist Maior Tam Menor	Tempo	50
8	Cave com oculos	Dist Menor Tam Maior	Tempo	40
8	Cave com oculos	Dist Menor Tam Menor	Tempo	45
9	Cave com oculos	Dist Maior Tam Maior	Tempo	62
9	Cave com oculos	Dist Maior Tam Menor	Tempo	57
9	Cave com oculos	Dist Menor Tam Maior	Tempo	45
9	Cave com oculos	Dist Menor Tam Menor	Tempo	32
1	Cave sem oculos	Dist Maior Tam Maior	Tempo	18
1	Cave sem oculos	Dist Maior Tam Menor	Tempo	21
1	Cave sem oculos	Dist Menor Tam Maior	Tempo	35
1	Cave sem oculos	Dist Menor Tam Menor	Tempo	48
2	Cave sem oculos	Dist Maior Tam Maior	Tempo	39
2	Cave sem oculos	Dist Maior Tam Menor	Tempo	20
2	Cave sem oculos	Dist Menor Tam Maior	Tempo	59
2	Cave sem oculos	Dist Menor Tam Menor	Tempo	19
3	Cave sem oculos	Dist Maior Tam Maior	Tempo	8
3	Cave sem oculos	Dist Maior Tam Menor	Tempo	17
3	Cave sem oculos	Dist Menor Tam Maior	Tempo	19
3	Cave sem oculos	Dist Menor Tam Menor	Tempo	8
4	Cave sem oculos	Dist Maior Tam Maior	Tempo	8
4	Cave sem oculos	Dist Maior Tam Menor	Tempo	7
4	Cave sem oculos	Dist Menor Tam Maior	Tempo	11
4	Cave sem oculos	Dist Menor Tam Menor	Tempo	12
5	Cave sem oculos	Dist Maior Tam Maior	Tempo	10
5	Cave sem oculos	Dist Maior Tam Menor	Tempo	11
5	Cave sem oculos	Dist Menor Tam Maior	Tempo	15
5	Cave sem oculos	Dist Menor Tam Menor	Tempo	9
6	Cave sem oculos	Dist Maior Tam Maior	Tempo	45
6	Cave sem oculos	Dist Maior Tam Menor	Tempo	23
6	Cave sem oculos	Dist Menor Tam Maior	Tempo	49
6	Cave sem oculos	Dist Menor Tam Menor	Tempo	30
7	Cave sem oculos	Dist Maior Tam Maior	Tempo	10
7	Cave sem oculos	Dist Maior Tam Menor	Tempo	11
7	Cave sem oculos	Dist Menor Tam Maior	Tempo	15
7	Cave sem oculos	Dist Menor Tam Menor	Tempo	13
8	Cave sem oculos	Dist Maior Tam Maior	Tempo	27
8	Cave sem oculos	Dist Maior Tam Menor	Tempo	35
8	Cave sem oculos	Dist Menor Tam Maior	Tempo	21
8	Cave sem oculos	Dist Menor Tam Menor	Tempo	15
9	Cave sem oculos	Dist Maior Tam Maior	Tempo	35
9	Cave sem oculos	Dist Maior Tam Menor	Tempo	41
9	Cave sem oculos	Dist Menor Tam Maior	Tempo	30
9	Cave sem oculos	Dist Menor Tam Menor	Tempo	25
